epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8002,1.29006,1.94905,1.14774,0.92075,0.82661,0.90755,0.62432,1.09852,1.11689,1.17768,0.000663793,0.000663793,0.000663793
2,49.3714,1.39031,0.96008,1.23067,0.87623,0.94201,0.92456,0.67753,0.93218,0.78185,1.03841,0.00131948,0.00131948,0.00131948
3,73.5076,1.34714,0.83844,1.19657,0.86297,0.9879,0.93886,0.62017,1.06489,1.55496,1.01865,0.00196417,0.00196417,0.00196417
4,97.0342,1.32583,0.8287,1.20212,0.97988,0.98183,0.99144,0.77614,0.8765,0.63578,0.94957,0.0019505,0.0019505,0.0019505
5,120.781,1.26956,0.76969,1.16665,0.99197,0.99635,0.995,0.73786,0.94691,0.58753,0.96128,0.001934,0.001934,0.001934
6,144.619,1.25976,0.74811,1.16959,1,0.96541,0.99163,0.68346,1.03457,0.74378,0.99173,0.0019175,0.0019175,0.0019175
7,170.378,1.25558,0.72705,1.1624,0.95351,0.9925,0.9906,0.78174,0.82345,0.55058,0.93993,0.001901,0.001901,0.001901
8,195.035,1.2203,0.70464,1.13191,0.9959,0.9794,0.99476,0.77571,0.82658,0.53259,0.91169,0.0018845,0.0018845,0.0018845
9,219.41,1.23392,0.68158,1.12257,0.99741,0.99597,0.995,0.7847,0.84149,0.52546,0.93952,0.001868,0.001868,0.001868
10,243.768,1.18678,0.66705,1.12692,0.98007,0.99137,0.99439,0.78375,0.7827,0.51972,0.93381,0.0018515,0.0018515,0.0018515
11,269.366,1.1931,0.6593,1.11661,0.99927,1,0.995,0.77948,0.81211,0.51606,0.89951,0.001835,0.001835,0.001835
12,293.105,1.15228,0.64312,1.11249,0.98409,0.99791,0.9948,0.80744,0.76599,0.48663,0.9078,0.0018185,0.0018185,0.0018185
13,319.213,1.16547,0.63687,1.10853,1,0.99507,0.995,0.82375,0.75351,0.48328,0.88794,0.001802,0.001802,0.001802
